view_name,rows
stock_price_adjusted,15295776
stock_base_daily,15295776
market_breadth_daily,4951
concept_daily,4265393
industry_daily,153480
stock_base_daily_enriched,15295776
financial_income,294351
financial_balance,272771
financial_cashflow,297550
financial_indicator,253004
financial_event_forecast,139145
financial_event_audit,86452
financial_event_mainbz,828236
financial_event_holdernumber,492451
financial_event_top10_holders,4242597
financial_event_pledge_detail,216610
financial_event_repurchase,68573
financial_event_share_float,10288758
financial_dividend,163213
financial_pledge_stat,2204384
