year,open_trade_days,daily_trade_days,daily_basic_trade_days,limit_trade_days,daily_rows,daily_basic_rows,limit_rows,daily_day_coverage,daily_basic_day_coverage,limit_day_coverage
2006,241,241,241,0,288399,288229,0,1.0,1.0,0.0
2007,242,242,242,242,323844,323844,354200,1.0,1.0,1.0
2008,246,246,246,246,360812,360807,387682,1.0,1.0,1.0
2009,244,244,244,244,375776,375770,395239,1.0,1.0,1.0
2010,242,242,242,242,432136,432129,445760,1.0,1.0,1.0
2011,244,244,244,244,512177,512176,529189,1.0,1.0,1.0
2012,243,243,243,243,566395,566389,581887,1.0,1.0,1.0
2013,238,238,238,238,564854,564815,586145,1.0,1.0,1.0
2014,245,245,245,245,571035,570677,619566,1.0,1.0,1.0
2015,244,244,244,244,575184,570310,665312,1.0,1.0,1.0
2016,244,244,244,244,652864,642209,704154,1.0,1.0,1.0
2017,244,244,244,244,754372,743941,798651,1.0,1.0,1.0
2018,243,243,243,243,824535,817638,856589,1.0,1.0,1.0
2019,244,244,244,244,894177,885332,998531,1.0,1.0,1.0
2020,243,243,243,243,964131,946332,1176519,1.0,1.0,1.0
2021,243,243,243,243,1085445,1061906,1300964,1.0,1.0,1.0
2022,242,242,242,242,1179072,1171417,1462997,1.0,1.0,1.0
2023,242,242,242,242,1258734,1258734,1577070,1.0,1.0,1.0
2024,242,242,242,242,1293893,1293893,1655131,1.0,1.0,1.0
2025,243,243,243,243,1313898,1313898,1746811,1.0,1.0,1.0
2026,242,92,92,92,504043,504043,690721,0.3802,0.3802,0.3802
